"Name","Price level","Price","Price (String)"
"Wochenwertmarke Ausbildung","PS 6",40.6,"40,60 €"
"Wochenwertmarke Ausbildung","PS 6+T",44.4,"44,40 €"
"Wochenwertmarke Ausbildung","PS 7",47.6,"47,60 €"
"Wochenwertmarke Ausbildung","PS 7+T",51,"51,00 €"
"Wochenwertmarke Ausbildung","PS 8",54.3,"54,30 €"
"Wochenwertmarke Ausbildung","PS 8+T",57.2,"57,20 €"
"Wochenwertmarke Ausbildung","PS 9",60.6,"60,60 €"
"Wochenwertmarke Ausbildung","PS 9+T",63.5,"63,50 €"
"Wochenwertmarke Ausbildung","PS 10",67.1,"67,10 €"
"Wochenwertmarke Ausbildung","PS 10+T",72,"72,00 €"
"Wochenwertmarke Ausbildung","PS A",20.7,"20,70 €"
"Wochenwertmarke Ausbildung","PS B",16.8,"16,80 €"
"Wochenwertmarke Ausbildung","PS C",13.7,"13,70 €"
"Wochenwertmarke Ausbildung","PS D",11.2,"11,20 €"
"Wochenwertmarke Ausbildung","PS F",7.7,"7,70 €"
"Monatswertmarke Ausbildung","PS 1",33.5,"33,50 €"
"Monatswertmarke Ausbildung","PS 2",54,"54,00 €"
"Monatswertmarke Ausbildung","PS 2+T",64.7,"64,70 €"
"Monatswertmarke Ausbildung","PS 3",71.8,"71,80 €"
"Monatswertmarke Ausbildung","PS 3+T",85.1,"85,10 €"
"Monatswertmarke Ausbildung","PS 4",93.1,"93,10 €"
"Monatswertmarke Ausbildung","PS 4+T",100.1,"100,10 €"
"Monatswertmarke Ausbildung","PS 5",108.7,"108,70 €"
"Monatswertmarke Ausbildung","PS 5+T",116.3,"116,30 €"
"Monatswertmarke Ausbildung","PS 6",121.5,"121,50 €"
"Monatswertmarke Ausbildung","PS 6+T",132.8,"132,80 €"
"Monatswertmarke Ausbildung","PS 7",142.2,"142,20 €"
"Monatswertmarke Ausbildung","PS 7+T",152.4,"152,40 €"
"Monatswertmarke Ausbildung","PS 8",162.5,"162,50 €"
"Monatswertmarke Ausbildung","PS 8+T",171.1,"171,10 €"
"Monatswertmarke Ausbildung","PS 9",181.1,"181,10 €"
"Monatswertmarke Ausbildung","PS 9+T",189.8,"189,80 €"
"Monatswertmarke Ausbildung","PS 10",200.6,"200,60 €"
"Monatswertmarke Ausbildung","PS 10+T",215.2,"215,20 €"
"Monatswertmarke Ausbildung","PS A",60.5,"60,50 €"
"Monatswertmarke Ausbildung","PS B",50.1,"50,10 €"
"Monatswertmarke Ausbildung","PS C",41.1,"41,10 €"
"Monatswertmarke Ausbildung","PS D",33.5,"33,50 €"
"Monatswertmarke Ausbildung","PS F",23.1,"23,10 €"
